	A063	A060	A056	A052	A045	A042	A040	A036	A035	A033	A025	A024	A020	A016	A011	A008	A007	A062	A061	A057	A051	A050	A047	A044	A041	A032	A031	A030	A028	A026	A022	A018	A015	A014	A012	A006	A004	A002
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.0	0.0	0.0	0.0	0.0	0.0	0.5139	0.0	0.0	0.08377000000000001	0.25811999999999996	0.06412999999999999	0.0	0.21758000000000002	0.0	1.14727	0.0	4.04518	3.53146	0.16296	0.0	0.0	0.0	0.0	0.0	0.0	0.10787000000000001	0.031439999999999996	0.0	0.9752799999999999	0.0	0.1777	0.11622	0.0	0.0	0.0	0.0	0.17278
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.0	0.0	0.0	0.0	0.04689	0.0	0.0	0.0	0.0	0.0	0.52777	0.01047	0.0	0.0	0.6116199999999999	0.96615	0.0	0.43563	0.0	0.10112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09892999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07746
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11547	0.0	0.0	0.0	0.0	0.73332	1.3038100000000001	0.0	0.0	0.0	0.00561	0.0	0.0	0.0	0.0	0.0	0.0	0.0336	0.0	0.0	0.0	0.0	0.0	0.0	0.008490000000000001	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0	0.0	0.0	0.0	0.0	0.0	0.07852999999999999	0.0	1.2080899999999999	0.05637	0.31564000000000003	0.0	0.0	0.45205	0.18145999999999998	1.37659	0.00103	0.54657	6.20025	0.06325	0.0	0.0	0.0	0.0	0.0	0.006999999999999999	0.07952000000000001	0.10372	0.0	0.63151	0.03537	0.0	0.05255	0.03429	0.22141	0.0	0.0	0.01766
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09976	0.0	0.0	0.0	0.24838000000000002	0.01581	0.0	0.0	0.56048	0.04657	0.00889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23775	0.0	0.0	0.0	0.00394	0.46931999999999996	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0.0	0.0	0.0	0.01356	0.11947	0.0	0.73485	0.0	0.0	0.13155999999999998	0.24006999999999998	0.09695	0.0	0.09912	0.0	1.7393299999999998	0.01122	0.42605	0.0	0.06573999999999999	0.04413	0.0	0.0	0.13907	0.0	0.02216	0.11494000000000001	0.00322	0.0	0.20669	0.0	0.0	0.0068	0.029289999999999997	0.09759	0.0385	0.0	0.04639
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Senegalimassilia|s__Senegalimassilia_anaerobia	0.0	0.0	0.0	0.0	0.0	0.0	0.07697000000000001	0.0	0.0	0.0	0.00352	0.0	0.0	0.0	0.0	0.15963	0.0	0.0	0.01335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026439999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004520000000000001	0.0	0.00877	0.0	0.0	0.0	0.0	0.03282	0.0	0.0	0.0	0.0	0.0	0.02044	0.0	0.0	0.0	0.0	0.0428	0.0	0.0	0.016319999999999998	0.0	0.0	0.0	0.03146	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae_unclassified|s__Eggerthellaceae_bacterium	0.03277	0.0	0.0	0.0	0.0	0.0	0.03245	0.0	0.0	0.0	0.05074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00209	0.0	0.0	0.10323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02099
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_unclassified|s__Bacteroidaceae_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.835	0.0	0.0	0.0	1.02902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20269	0.0	0.10340999999999999
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	1.03967	0.0	0.0	1.8408200000000001	0.40419	2.2934099999999997	0.005220000000000001	0.0	0.0	0.0	1.0937700000000001	0.0	0.0	0.00451	0.0	3.45725	1.3260399999999999	0.0	0.6189600000000001	1.12901	0.01105	0.0	0.0	4.6598	7.11296	1.1918	5.18536	18.90495	1.3066	1.7892599999999999	0.0	0.0	0.0	0.0	0.0	0.014709999999999999	0.45348999999999995	0.34641
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0.0	0.0	0.0	0.0	0.0	6.95383	0.0	0.0	0.0	0.0	0.48541999999999996	0.52764	0.0	0.0	0.0	0.0	0.19682	0.0	0.0	0.0	0.0	0.0497	0.0	0.0	0.0	0.0	0.42806000000000005	0.12500999999999998	4.2977099999999995	0.7939	0.0	0.0	0.0	0.0	0.0007700000000000001	0.09300000000000001	0.018680000000000002	0.0172
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	0.83741	0.0	0.0	0.0	0.0	0.07103	0.0	0.0	0.0	0.26368	0.16802	0.70499	2.06294	0.0	0.0	0.0	0.0	0.0	0.05722000000000001	1.06021	0.039	0.0	0.0	0.0	0.6562100000000001	0.0	0.5207	0.20443	0.37028	0.03707	0.0	0.0	0.0	0.0	1.19974	0.0	0.06546	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	0.6914600000000001	0.0	0.0	0.08283	0.0051600000000000005	0.0013800000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007099999999999999	0.0	0.0	4.70582	0.38452	0.0	0.0	0.0	0.0	0.0	2.7903599999999997	0.0	2.01884	1.5741100000000001	0.0	0.0	0.0	0.0	8.566130000000001	0.02563	0.01284	0.00462
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	0.0	0.0	0.0	0.0	0.51055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5599099999999995	0.0	1.9816900000000002	0.0	0.78162	2.91898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00782	0.0	0.0	0.09905
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	0.56229	0.0	0.0	0.11023	0.0	2.89202	0.0	0.0	3.51548	0.0	0.69631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00402	0.15617	0.0	0.0	0.18409	1.37751	0.0	0.0	0.0	0.0	0.0	0.20252	0.04333	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.0	14.72241	0.0	0.05612	0.0	8.85211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.75128	0.0	1.17008	0.0	0.0	0.0	1.6609099999999999	0.0	9.45311	0.0	3.7759	7.89388	0.0	0.0	2.6061400000000003	0.0	0.02795	0.8811399999999999	3.21672	0.0	0.79093	1.18921	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	0.00835	0.0	0.0	0.32008000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.05951	0.0	0.0	1.36246	0.0	0.0	0.10761	0.0	0.0	0.02405	0.0	1.0972600000000001	0.0	0.00185	0.00557	0.0	0.036180000000000004	0.37851999999999997	0.039310000000000005	0.00869	0.0	0.0	0.0	0.07749	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	1.5838700000000001	18.29325	50.54439	0.11297	0.12945	15.270620000000001	0.06805	0.0	0.0	0.0706	0.34646	9.865639999999999	22.07094	8.02336	0.0	0.0	5.872669999999999	0.0	0.39429000000000003	0.95415	0.95219	0.36607	7.301839999999999	0.65465	42.57335	0.9172899999999999	0.6990000000000001	0.60164	1.8021599999999998	1.51928	6.42662	0.01151	0.38132	5.7161	5.78683	0.04635	0.03186	0.22363000000000002
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae	0.5080399999999999	0.0	0.0	0.0	0.0	1.7589700000000001	0.0	0.0	0.3503	1.39772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2767700000000002	0.24624000000000001	0.0	0.0	0.0	0.0	0.0	0.78171	0.02943	0.35905	0.63171	0.0	0.0	0.0	0.0	0.0	0.00528	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	0.0	0.0	0.0	0.7979	0.0727	8.16366	0.01726	0.0	5.4584	6.90596	2.15905	0.0	0.0	0.0	5.22545	0.34778000000000003	7.8876100000000005	0.0	0.24174	0.0	0.2424	3.0117599999999998	2.47433	3.31754	0.0	0.38266	0.0	0.0	0.0	0.0	0.0	0.0	0.38049	8.2073	0.0	0.6662399999999999	0.27413000000000004	0.34336
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0.24902	0.0	0.0	0.57416	0.0018399999999999998	9.49808	0.01796	0.0	0.33191	1.71045	0.26337	5.9515	0.0019100000000000002	10.22209	0.0	0.50065	1.21251	0.0	0.10430999999999999	0.78194	0.0	0.14965	1.74753	0.02866	3.89545	0.061939999999999995	0.07119	0.15818	1.2564600000000001	0.12624000000000002	0.0	6.62454	0.0	2.26722	0.33284	0.11554	0.31940999999999997	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	4.922630000000001	18.59756	0.0	1.38402	0.23884	2.04717	0.01725	0.0	1.2098200000000001	11.84137	5.242030000000001	23.234560000000002	0.0	10.26967	0.0	0.88225	20.62624	0.0	3.75555	13.929479999999998	1.18888	13.819189999999999	24.672620000000002	0.18015	5.20766	1.3417700000000001	7.24701	0.5080100000000001	3.6999400000000002	7.973089999999999	0.0	0.00367	0.18006	1.3443100000000001	20.47417	1.49279	0.42131	0.68247
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0.16433	0.02625	0.38643	0.0	0.26559	0.34058	0.03866	0.0	0.50572	2.49506	0.42077	2.62867	12.57333	1.6807	0.0	0.3223	2.57344	0.0	0.0145	0.08114	0.06649	0.46221999999999996	1.1491	0.75149	2.5495200000000002	0.030080000000000003	0.0	0.02284	1.51575	0.22687	0.029939999999999998	2.35345	0.0	0.13579000000000002	3.41235	0.16513	0.039439999999999996	0.36646999999999996
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified|s__Bacteroidales_bacterium	0.0	0.0	0.0	0.07251	0.0	0.0	0.0	0.0	0.0	0.0	0.01035	0.0	0.0	0.0	0.0	0.01973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68247	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB1495|s__GGB1495_SGB2071	0.0	0.0	0.0	0.0	1.1046	0.0	0.013630000000000001	0.0	0.0	9.86213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.60087	0.0	0.0	0.0	0.0	1.32647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_dorei	0.21868	27.3304	0.0	0.38353000000000004	0.53095	0.11872	0.006999999999999999	0.0	11.7142	0.10905	7.17087	3.27196	0.0	0.0	0.0	0.0	3.9133199999999997	38.173190000000005	1.4051200000000001	0.7038300000000001	0.0089	8.39781	23.758779999999998	0.0	3.0587400000000002	5.7486	0.80162	0.0	17.45498	3.3278300000000005	47.87471	0.00275	0.39499	5.4734	0.0	1.9962900000000001	0.013930000000000001	0.07097
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_massiliensis	2.76087	0.0	0.0	3.47359	1.7263700000000002	0.0	0.0	0.0	0.00244	10.41865	4.38694	15.605920000000001	0.0	0.0	0.0	0.0	5.38415	0.0	0.0	0.0	0.69297	0.0	7.522060000000001	0.0	0.0	0.18436	10.22627	0.0	2.3553900000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.06502999999999999	1.1163399999999999	0.07922
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_plebeius	0.0	0.0	0.0	0.0	0.0	0.0	0.29838000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96954	0.0	7.1306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6219	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_vulgatus	10.27773	0.0	0.0	9.83721	1.69735	22.87688	1.50431	0.0	7.404560000000001	14.69909	8.56938	12.83973	42.683659999999996	12.0358	80.47993000000001	2.6837299999999997	16.38961	0.0	0.30151999999999995	9.304110000000001	5.66108	26.07157	5.9749	35.46456	21.28182	0.16349	20.85656	7.002160000000001	0.16072	15.55701	0.0	39.221070000000005	0.0	38.98611	45.392959999999995	1.51881	1.9103	1.03999
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	1.20231	0.0	0.0	0.03896	0.69762	0.0	0.0	0.0	0.0	0.0	1.01609	1.34121	0.0	0.0	0.0	0.0	1.32396	0.0	0.61445	1.11222	0.03431	1.00715	0.0	0.77437	0.0	0.0	2.27145	4.733140000000001	0.0	0.93722	1.53833	0.0	0.0	1.52474	0.0	0.08854	0.18758	0.37764000000000003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_fastidiosus	0.01784	0.0	0.0	0.08556	0.0076	0.01023	0.0	0.0	0.0	0.12418	0.030410000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11277999999999999	0.01935	0.07562999999999999	0.0	0.0	0.0	0.0	0.22595	0.06876	0.05799	0.16043	0.0804	0.0	0.0	0.0	0.21565	0.0	0.038669999999999996	0.00236	0.02164
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_secundus	0.0	0.0	0.0	0.06035	0.04483	0.0	0.0	0.0	0.0	0.01009	0.00108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00662	0.07011	0.0	0.0	0.0	0.0	0.0	0.03714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019100000000000002	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_faecihominis	0.0	0.0	0.0	0.015519999999999999	0.0	0.11490999999999998	0.0	0.0	0.0	0.0	0.09165	0.28184000000000003	0.0	0.0	0.0	0.13022999999999998	0.0	0.0	0.06443	0.39812	0.047560000000000005	0.18639	0.0	0.0097	0.0	0.57436	0.26687	0.7946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06822	0.11394000000000001	0.02311
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_paravirosa	0.11877	0.0	0.0	0.11857999999999999	0.04598	0.0	0.0	0.0	0.0	0.36843000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32026	0.0	0.0	0.0	0.0	0.06559	0.01096	0.033839999999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04058	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa	0.08006	0.0	0.0	0.0	0.019459999999999998	0.02537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06942000000000001	0.09145	0.0	0.0	0.0	0.0	0.0	0.00897	0.06825	0.23318000000000003	0.37377	0.0	0.0	0.0	0.0	0.0	0.0136	0.0	0.01608
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_laneus	1.0547799999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29197	0.0	0.05499	0.0	0.0	0.0	0.0	0.0	0.0	0.35725999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00266	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	0.63463	0.0	0.41593	0.32891	0.39058000000000004	0.44768	0.01609	0.0	0.45113000000000003	0.4713	0.36252	0.0	0.0	0.0	0.0	0.05222	0.76551	0.0	0.18669000000000002	0.67948	0.43985	1.8212400000000002	0.0	0.13204000000000002	0.0	0.26124	1.2706899999999999	1.12027	0.28043	0.21348000000000003	0.0	0.61544	0.04238	1.00985	0.0	0.23251999999999998	0.39448	0.10240999999999999
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1266|s__GGB1266_SGB1699	0.0	0.0	0.0	1.5187700000000002	0.0	0.0	0.63612	0.0	0.0	0.0	15.045470000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.19929	0.0	0.0	0.0	0.0	0.0	0.0	5.32335	0.0	0.0	0.0	0.0	0.76266	0.0	0.0	2.37868	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara	0.0	0.0	0.0	0.0	0.05028	0.23674	0.04521	0.0	0.0	0.0	1.62939	0.0	3.4552300000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1273	0.0	1.20743	0.0	0.0	0.44976000000000005	0.0	0.0	1.9347299999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila	0.0	0.0	0.0	1.26134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24861999999999998	0.12964
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A	37.54705	0.0	0.0	61.535940000000004	45.23038	0.0	18.59037	0.0	0.0077	0.0	0.0	0.0	0.0	0.0	0.0	0.47534	0.0	0.0	0.0	0.0	0.0	0.0067599999999999995	0.0	26.93686	0.0	65.37581	0.0	0.09831000000000001	0.0	0.0	0.0	0.0	71.50968	0.0	0.0	0.0	75.04753000000001	68.14446
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_C	0.0	0.0	0.0	0.0	5.12745	0.0	2.00267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.66415	0.0	0.0	32.01491	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_communis	0.08406	0.0	0.57931	0.07717	0.06355	0.0	0.0	0.0	0.0	0.05152999999999999	0.19355	0.0	0.0	0.0	0.0	0.17808	0.0	0.0	0.13655	1.18625	0.0061	0.0	0.0	0.0	0.0	0.0	0.171	0.64841	0.013359999999999999	0.28231	0.55892	0.0	0.0	0.4415	0.0	0.04213	0.0	0.14357
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_dispar	0.0	0.0	0.0	0.0	0.07378	0.0	0.0	0.0	0.0	0.0	0.0244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035089999999999996	0.0	0.11914000000000001	0.0	0.0	0.0	0.0	0.0	0.228	0.0	0.0	0.03205	0.20836999999999997	0.0	0.0	0.5723	0.0	0.0	0.0028399999999999996	0.00314
