	A063	A060	A056	A052	A045	A042	A040	A036	A035	A033	A025	A024	A020	A016	A011	A008	A007	A062	A061	A057	A051	A050	A047	A044	A041	A032	A031	A030	A028	A026	A022	A018	A015	A014	A012	A006	A004	A002
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	0.6932	2.44557	3.49422	0.36012	0.13568	0.18861	0.0	0.0	0.15306	0.0	0.01935	0.12523	0.23348000000000002	0.0	0.0	0.18600000000000003	0.64845	0.0	0.0	1.82961	0.0	2.01131	0.0	0.0	0.0	0.2396	0.26053000000000004	0.16000999999999999	0.43287	0.0437	0.0	0.0	0.0	0.10817	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_ihumii	0.22563000000000002	0.0	0.0	0.02216	0.06808	0.0	0.0	0.0	0.19767	0.08517000000000001	0.02304	0.0	0.0	0.0	0.0	0.64647	0.0	0.0	0.00474	0.15015	0.10459	0.0	0.0	0.0	0.0	0.0	0.2137	1.22623	0.1059	0.06713	0.17761	0.0	0.0	0.0	0.0	0.0	0.01353	0.01951
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0.13975	0.0	0.0	0.0	0.29302	0.0	0.0	0.0	0.0	0.0	0.0	0.00573	0.0	0.0	0.0	0.1877	0.0	0.0	0.0	0.0	0.0	0.02285	0.0	0.00718	0.0	0.0	0.0	0.6342	0.10680999999999999	0.0	0.08753999999999999	0.0	0.0	0.0	0.0	0.0	0.01017	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_inops	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11231	0.0	0.0	0.0	0.0	0.0	1.67573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3064799999999999	0.0	0.0038	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	1.87592	1.4352	0.7662399999999999	0.02385	0.02359	0.0	0.0	0.0	3.4646	0.044160000000000005	0.0	0.26406999999999997	0.5284	0.0	0.0	0.21861999999999998	0.12145999999999998	0.0	0.0	0.03424	0.00629	0.69718	1.23212	0.05749	0.0	0.03632	0.62505	3.7918300000000005	0.18979000000000001	1.28614	1.7907099999999998	4.13696	0.0	0.30564	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	4.08248	0.0	0.0	1.37991	2.28589	1.0867799999999999	0.0392	0.0	0.0	0.0	1.92297	1.5965799999999999	0.0	0.0	0.0	0.52877	1.7623099999999998	0.0	1.4308100000000001	3.91215	1.55891	6.63665	0.0	0.47343999999999997	0.0	0.0	4.76795	3.27572	1.76027	3.5373300000000003	4.14612	2.14678	0.39188	0.0	0.0	1.37165	1.3137299999999998	1.0156399999999999
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis	0.01823	0.0	0.0	0.0	0.04359	0.0	0.0	0.0	0.0	0.0	0.060989999999999996	0.0	0.0	0.0	0.0	0.020919999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18673	0.0	0.12845	0.24191	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0.48168	0.0	0.0	0.13441	0.28171999999999997	0.16923	0.0	0.0	0.11798	0.41185	0.34115999999999996	0.0	0.0	0.0	0.0	0.05679	0.0	0.0	0.1825	1.38179	0.25544	0.0	0.0	0.19283	0.0	0.4341	0.39992	1.70095	0.02858	0.17945999999999998	0.7840699999999999	0.0	0.0	0.0	0.0	0.1754	0.0665	0.25997
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AF17_16	0.014119999999999999	0.0	0.0	0.00475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0123	0.0	0.0	0.0	0.0	0.0	0.0	0.08305	0.022019999999999998	0.0	0.16532	0.0	0.0	0.0	0.048	0.35028000000000004	0.0	0.0	0.17277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.95331	0.0	0.0	0.82815	1.16815	2.1328099999999997	0.0	0.0	0.0	0.63565	1.00611	1.02631	0.0	2.2727	0.0	0.55295	1.05629	0.0	0.61264	1.6167799999999999	0.31705	1.10067	0.38033	3.40495	0.0	2.33423	0.49627	4.20515	1.6135	1.6885700000000001	7.03247	0.0	0.11938	3.4511	2.72624	0.39748	0.22776999999999997	0.09583
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_johnsonii	0.0	0.0	21.66856	0.0	0.0	0.0	0.00109	0.0	0.59927	0.77942	0.01023	0.26100999999999996	0.0	0.0	0.0	0.0	0.058039999999999994	0.0	0.0	1.08083	0.0	0.5387	0.0	0.06832	0.0	0.0	0.0	0.0	0.14355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09303
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	1.28081	0.0	0.0	1.50852	0.70622	0.43481000000000003	0.08304	0.0	8.17972	0.0	0.27157	0.0	0.0	0.0	0.0	0.0	0.42646999999999996	0.0	0.42882	0.0	0.48966000000000004	0.0	0.5270199999999999	0.0	0.0	1.6943	0.46523000000000003	1.46485	0.11420999999999999	2.20238	0.0	0.0	0.0	0.0	0.0	0.41434	0.55475	0.22729000000000002
k__Bacteria|p__Bacteroidetes|c__CFGB602|o__OFGB602|f__FGB602|g__GGB1420|s__GGB1420_SGB1957	0.19322999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15502	0.0	0.00985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18633	0.13704000000000002	0.0	0.0	0.0	0.0	0.0	0.26839	0.0	0.04116
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified|g__GGB6012|s__GGB6012_SGB8640	0.05661	0.0	0.0	1.57499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.50713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24086999999999997
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_ruminis	0.0	0.0	0.0	0.0	0.00587	0.0	0.062360000000000006	0.0	0.0	0.0	0.02924	0.0	0.0	0.0	0.0	0.0	0.0	1.08942	2.55189	0.0	0.0	0.0	0.0	0.0	0.0	0.09684	0.0	0.0	0.0	0.55779	0.0	0.0	0.74398	0.0	0.0	0.0	0.0	0.03882
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0.0	0.0	0.0	0.0	0.2242	0.0	2.1118	0.0	0.0	0.0	0.0171	0.0	0.0	0.0	0.06054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01601	0.00479	0.17755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00373	0.08765	0.0	0.14909	0.21054	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.0	0.0	0.10021000000000001	0.0	1.27391	0.0	2.29066	0.0	0.0	0.0	0.04067	0.0	0.0	0.00252	0.14774	0.04098	0.01844	0.00595	0.0	0.0	0.0	0.0	0.0	0.0199	0.15891	0.0	0.0	0.0	0.0	0.014480000000000002	0.0	0.0	0.0329	0.05058	0.0	0.38613000000000003	0.30338000000000004	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0.0	0.0	0.0	0.0	0.0	0.0	0.20956	0.0	0.05417999999999999	0.0	0.0	0.0	0.0	0.05856	0.0	0.01176	0.0	0.0	0.0504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07065	0.0	0.0	0.0	0.0	0.04798	0.0	0.0	0.036910000000000005	0.02342	0.08981	0.0
k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340|f__FGB1340|g__GGB3256|s__GGB3256_SGB4303	0.93535	0.0	0.0	0.0	0.0	0.0	0.28883000000000003	0.0	0.0	0.0	0.5807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05317	0.0	0.0	0.0	0.2523	0.0	0.0	0.0	0.10670999999999999	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales|f__Candidatus_Borkfalkiaceae|g__Candidatus_Borkfalkia|s__Candidatus_Borkfalkia_ceftriaxoniphila	0.14486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00907	0.02658	0.0	0.0	0.0	0.01725	0.0	0.14282999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Avimicrobium|s__Candidatus_Avimicrobium_caecorum	0.0	0.0	0.0	0.01214	0.00951	0.01023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05766	0.09157	0.12939	0.00966	0.0	0.030139999999999997	0.01989	0.07012	0.0	0.0	0.0	0.0611	0.0	0.00511	0.0369	0.0	0.01654	0.0	0.09068	0.0	0.007940000000000001	0.0189	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium	0.6019	0.0	0.0	0.0	0.04911	0.12094	0.02153	0.76907	1.28821	0.013940000000000001	0.07173	0.08706	0.0	0.0	0.0	1.8887900000000002	0.07326	0.12410999999999998	1.55592	0.9448200000000001	1.4150200000000002	0.4124	0.08685	0.04863	0.0	0.026039999999999997	0.37542	0.9654799999999999	0.04666	0.5484	0.0	0.01214	0.04371	0.22439	0.0	0.44168	0.0048200000000000005	0.16698
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB4121	0.005370000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.00107	0.07873	0.00483	0.01757	0.0	0.0	0.0	0.0	0.09047999999999999	0.0	0.0	0.11184000000000001	0.0	0.0	0.00815	0.0	0.016030000000000003	0.0	0.00772	0.07279	0.01949	0.0	0.07765	0.0	0.006659999999999999	0.0	0.0	0.00855	0.0007599999999999999	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB4367	0.0	0.0	0.0	0.0	1.52521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.83859	0.0	0.0	0.0	0.0	0.43513999999999997	0.0	0.0	0.0	0.0	0.17349	0.0	0.0	0.0	0.0	0.0	0.0	0.02598	0.0	0.0	0.03657	0.0	2.1346700000000003
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB4447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16766	0.0	0.0	0.0	0.0	0.0	0.37803000000000003	0.0	0.0	0.0	0.02052	0.0	0.0	0.0	0.04897	0.0	0.0	0.0	0.0	0.17057999999999998	0.0	0.0	0.0	0.06942999999999999	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB6276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23128	0.13906	0.0	0.0	0.0	0.0	0.0	0.10547999999999999	0.0	0.0	2.81908	0.0	0.0	0.0	0.0	0.0	0.00381	0.0	0.16815
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3277|s__GGB3277_SGB4327	0.0	0.0	0.0	0.0	0.0	0.05836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4529	0.0	0.0	0.0	0.49721000000000004	0.0	0.0	0.0	0.0	0.0	0.71232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0487	0.0	0.6681199999999999
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3293|s__GGB3293_SGB4348	0.0	0.0	0.0	0.0	0.0	0.0	0.06464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.624439999999999	4.8974400000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.24146	0.0	0.0	0.36096	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB4585|s__GGB4585_SGB6340	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01277	0.0	0.0	0.0	1.026	0.77687	0.2393	0.0	0.0	0.0	0.0097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9758|s__GGB9758_SGB15368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33521999999999996	0.0	0.0	0.28254	0.0	0.26427	0.051160000000000004	0.0	0.0	0.0	0.0	0.20561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09417	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus_sp_AM29_23AC	0.0	0.0	0.0	0.0	0.0	0.03372	0.0	0.0	0.0	0.11555	0.0	0.09877999999999999	0.0	0.34931999999999996	0.0	0.01171	0.0	0.0	0.0017699999999999999	0.48445	0.010329999999999999	0.0	0.0	0.02102	0.0	0.01409	0.0	0.0	0.0	0.07393999999999999	0.0	0.0	0.11010999999999999	0.0	0.0	0.0	0.0	0.02808
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium	0.54538	1.40062	0.09756000000000001	0.04218	0.09147000000000001	0.04102	0.0378	13.8322	0.09312999999999999	0.5100899999999999	0.28436	0.14531	0.004079999999999999	1.15762	0.0	0.03402	0.08334	1.47856	0.34738	0.8494299999999999	0.29131	0.0	0.41476999999999997	0.09562999999999999	0.0	0.01325	0.058289999999999995	0.0	0.07209	0.28486	0.05711	0.41378000000000004	0.04427	0.52155	0.0	0.17786	0.13279000000000002	0.07954
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_OM08_6BH	0.01179	0.0	0.0	0.00533	0.0	0.1509	0.008029999999999999	0.0	0.0	0.06427000000000001	0.05861	0.0	0.0	0.08125	0.0	0.00772	0.0	0.0	0.03644	0.0	0.07267	0.0	0.0858	0.058570000000000004	0.0	0.01466	0.0	0.0	0.01845	0.04409	0.0	0.0	0.0	0.0	0.0	0.00997	0.0034700000000000004	0.03165
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_unclassified_SGB4769	0.0	0.0	0.0	0.0	0.0	0.022359999999999998	0.004370000000000001	0.0	0.0	0.0	0.03108	0.0	0.0	0.0	0.0	0.0	0.0042899999999999995	0.0	0.0	0.02314	0.0019	0.0	0.06813	0.0	0.0	0.0	0.0	0.0	0.0	0.02371	0.0	0.03587	0.0	0.0035700000000000003	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB6179	0.0	0.0	0.0	0.0	0.0	0.0	0.29491999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26661999999999997	0.0	0.01115	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_disporicum	0.0	0.0	0.0	0.056670000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.03447	0.0	0.0	0.00818	0.0	0.02449	0.0	0.0	0.46136000000000005	0.0	0.0	0.0	0.0	0.0	0.036489999999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022869999999999998	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_fessum	0.0957	0.0	0.0	0.06129	0.03896	0.5393	0.64426	0.0	0.0	0.259	0.37504	0.0	0.0	0.14472000000000002	0.26931	0.014459999999999999	0.449	0.0	0.05293	0.20576	0.28762	0.0	0.10006	0.80256	0.0	0.13088	0.10082999999999999	0.0	0.7076600000000001	0.32282	0.0	0.20514000000000002	0.07184	0.0	0.0	0.03469	0.02035	0.17067000000000002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_paraputrificum	0.0	0.0	0.0	0.0	0.0	0.0	0.013919999999999998	0.0318	0.0	0.0	0.0	0.0	0.03537	0.0	0.04192	0.0	0.0	0.0	0.00064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_phoceensis	0.02955	0.0	0.0	0.0	0.0027199999999999998	0.0	0.0	0.0	0.0	0.00837	0.0579	0.08094	0.0	0.0	0.0	0.0	0.0984	0.0	0.04867	0.0	0.054029999999999995	0.13027	0.09222000000000001	0.0	0.0	0.03424	0.0461	0.0	0.028189999999999996	0.026410000000000003	0.25724	0.00587	0.0	0.07176	0.0	0.0	0.0	0.017580000000000002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF15_49	0.0	0.0	0.0	0.0	0.2945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034460000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.040010000000000004	0.0	0.06355	0.0	0.0	0.09719	0.0	0.02515	0.0	0.0	0.57512	0.006659999999999999	0.7066899999999999
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF20_17LB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06713	0.09031	0.0	0.0	0.006370000000000001	0.0	0.0	0.06905	0.0	0.0	0.11472	0.0184	0.02465	0.0	0.02396	0.0	0.05413	0.008190000000000001	0.0	0.06627999999999999	0.13151	0.5039	0.01567	0.11045999999999999	0.0	0.0	0.0717	0.13992000000000002	0.013890000000000001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF27_2AA	0.0	0.06097	0.0	0.0	0.0	0.0	0.00182	0.0	0.0	0.05416	0.0795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00146	0.0	0.0	0.41849	0.0	0.0	0.021480000000000003	0.0	0.0	0.0	0.0	0.28661	0.0	0.0	0.0	0.0	0.0	0.00355
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF34_10BH	0.0	0.0	0.0	0.10828	0.02002	0.0	0.0	31.74788	0.047830000000000004	0.48386	0.65574	0.1955	0.0	0.68529	0.0	0.0	0.044469999999999996	0.34434000000000003	0.16143	0.25686	0.14275	0.28825	5.6935	0.0	0.0	0.06481	1.3627200000000002	0.00957	0.07668	0.12038	3.09156	0.08189	0.00315	2.5074400000000003	0.0	0.02543	0.31795999999999996	0.29545
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF34_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41443	0.62644	0.0	0.0	5.3297300000000005	0.0	0.0	3.29276	0.0	0.0	0.37754	0.3797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0137	0.38215	0.0	0.09054	0.0	0.57012	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14439000000000002	0.11262	0.0	0.0	0.0	0.0	0.13347	0.0	1.2199200000000001	0.53098	0.55597	0.29424	0.0	0.43865	0.0	0.0	0.05646	0.03437	0.01018	0.0	0.1223	0.50737	0.30358	0.0	0.051289999999999995	0.0	0.12523	0.01974	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM22_11AC	0.06519	0.0	0.0	0.00958	0.03893	0.0	0.00293	0.0	0.0	0.01172	0.059570000000000005	0.56548	0.0	0.0	0.0	0.02665	0.15224000000000001	0.0	0.01039	0.0	0.06666	0.0	0.20984	2.22785	0.0	0.0	0.01496	0.0	0.19623	0.10540999999999999	0.00164	0.0	0.0	0.07566	0.49018	0.0	0.0	0.01089
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM33_3	0.0	0.0	0.0	0.0	0.0	0.01063	0.03499	0.0	0.0	0.0119	0.02228	0.02071	0.0	0.0112	0.0	0.00801	0.02497	0.0	0.011290000000000001	0.0	0.055510000000000004	0.0	0.04143	0.061110000000000005	0.0	0.0	0.0	0.0	0.0	0.03652	0.0	0.0	0.01415	0.02737	0.0	0.0	0.0	0.00379
